run_id,factor_1_correlation,factor_1_defining_sorts,factor_2_correlation,factor_2_defining_sorts,factor_3_correlation,factor_3_defining_sorts,factor_4_correlation,factor_4_defining_sorts,factor_5_correlation,factor_5_defining_sorts
335676997,0.9466666667,20,0.8866666667,7,0.4933333333,8,0.7400000000,8,0.0000000000,0
822183656,0.9466666667,16,0.8266666667,10,0.7600000000,9,0.0000000000,0,0.0000000000,0
1304476591,0.6466666667,7,0.6200000000,9,0.7466666667,13,0.0000000000,0,0.4400000000,8
749017194,0.6400000000,5,0.6800000000,10,0.7866666667,15,0.6733333333,5,0.0000000000,0
1948800373,0.8200000000,13,0.4200000000,9,0.8600000000,11,0.6933333333,6,0.0000000000,0
3600076802,0.8333333333,21,0.0000000000,0,0.7266666667,12,0.7733333333,8,0.0000000000,0
112587870,0.9266666667,12,0.6333333333,8,0.7666666667,6,0.0000000000,0,0.5933333333,7
3244455705,0.9533333333,17,0.7666666667,6,0.8733333333,9,0.6533333333,3,0.2066666667,5
1559877455,0.9200000000,16,0.7066666667,10,0.6333333333,7,0.8466666667,6,0.0000000000,0
3862939377,0.7733333333,11,0.0000000000,0,0.7800000000,12,0.6400000000,8,0.0000000000,0
1955140977,0.9266666667,18,0.5400000000,4,0.8000000000,3,0.0000000000,0,0.6333333333,6
509142621,0.9200000000,22,0.8266666667,10,0.0000000000,0,0.8600000000,10,0.0000000000,0
225701419,0.9066666667,18,0.7133333333,5,0.7933333333,8,0.9200000000,11,0.0000000000,0
1037959939,0.9200000000,20,0.5866666667,4,0.4666666667,6,0.8000000000,6,0.0000000000,0
1963097452,0.8200000000,11,0.7333333333,10,0.8000000000,17,0.7066666667,3,0.0000000000,0
2776279159,0.9400000000,17,0.7266666667,3,0.7733333333,5,0.7600000000,5,0.6133333333,7
2466349059,0.8533333333,16,0.7466666667,8,0.8133333333,11,0.0000000000,0,0.0000000000,0
3938701829,0.7333333333,8,0.7733333333,5,0.7533333333,4,0.5000000000,8,0.4733333333,11
641738218,0.9533333333,12,0.8600000000,12,0.9333333333,6,0.0000000000,0,0.1800000000,4
809771460,0.8933333333,13,0.4933333333,7,0.8333333333,5,0.6733333333,2,0.4333333333,7
2151867504,0.7733333333,14,0.0000000000,0,0.8733333333,12,0.0000000000,0,0.7533333333,9
451517666,0.8000000000,11,0.6666666667,9,0.8066666667,9,0.6200000000,5,0.0000000000,0
337898029,0.7733333333,9,0.5600000000,9,0.7933333333,8,0.5533333333,7,0.4333333333,5
1397218047,0.8266666667,16,0.6066666667,5,0.7000000000,12,0.0000000000,0,0.6600000000,8
2514350835,0.8666666667,13,0.8733333333,7,0.7200000000,2,0.4800000000,7,0.3533333333,5
3549658230,0.8800000000,16,0.5400000000,5,0.7733333333,6,0.0000000000,0,0.5866666667,11
2245975286,0.9266666667,16,0.7600000000,7,0.0000000000,0,0.9000000000,6,0.6533333333,8
2753664385,0.9600000000,18,0.6866666667,6,0.6666666667,9,0.2533333333,3,0.0000000000,0
2580857590,0.9266666667,13,0.4133333333,11,0.0000000000,0,0.7600000000,10,0.6800000000,6
1411411992,0.9200000000,18,0.7466666667,5,0.6533333333,6,0.6000000000,9,0.0000000000,0
3357919253,0.4800000000,10,0.7266666667,4,0.7866666667,18,0.0000000000,0,0.5933333333,5
1703652290,0.9400000000,23,0.5466666667,9,0.0000000000,0,0.7333333333,11,0.0000000000,0
885145390,0.9066666667,13,0.5800000000,7,0.0000000000,0,0.7866666667,11,0.5933333333,9
3303518869,0.6800000000,6,0.7600000000,10,0.9000000000,8,0.5266666667,5,0.3666666667,8
2211198028,0.9533333333,13,0.5333333333,8,0.3133333333,6,0.6933333333,4,0.4133333333,4
955110110,0.8933333333,14,0.7933333333,4,0.8666666667,8,0.0000000000,0,0.5733333333,13
4014995955,0.5000000000,4,0.4133333333,7,0.6733333333,17,0.2000000000,3,0.5800000000,6
3476630081,0.9066666667,18,0.7400000000,8,0.7733333333,5,0.6733333333,6,0.0000000000,0
2429517029,0.8333333333,8,0.4133333333,11,0.8333333333,6,0.0000000000,0,0.6733333333,9
1502546077,0.8800000000,11,0.4266666667,4,0.8600000000,7,0.0000000000,0,0.5666666667,6
570834397,0.7333333333,14,0.3866666667,5,0.7666666667,14,0.8133333333,4,0.0000000000,0
1183978315,0.7666666667,14,0.4533333333,12,0.8333333333,14,0.0000000000,0,0.0000000000,0
2689347545,0.2933333333,5,0.0000000000,0,0.7733333333,14,0.7533333333,6,0.5933333333,15
3500297419,0.9133333333,9,0.7400000000,9,0.7000000000,11,0.8400000000,9,0.0000000000,0
226891127,0.9133333333,14,0.5466666667,7,0.8800000000,13,0.0000000000,0,0.0000000000,0
1864765349,0.8933333333,18,0.4066666667,3,0.8533333333,11,0.4733333333,5,0.0000000000,0
3809340553,0.9066666667,17,0.5866666667,5,0.4933333333,5,0.5933333333,4,0.0000000000,0
1786633511,0.7933333333,11,0.6666666667,5,0.5666666667,8,0.3933333333,9,0.5466666667,3
93766966,0.9266666667,13,0.8200000000,11,0.6066666667,7,0.0000000000,0,0.5666666667,6
2636125823,0.9000000000,16,0.8133333333,7,0.9000000000,11,0.0000000000,0,0.0000000000,0
1708230806,0.9333333333,20,0.0000000000,0,0.7800000000,13,0.7533333333,7,0.0000000000,0
1547037992,0.9533333333,15,0.5400000000,4,0.7266666667,6,0.5400000000,9,0.0000000000,1
1871951937,0.8866666667,15,0.4266666667,4,0.0000000000,0,0.5266666667,12,0.5733333333,7
